episode,sarsa_run_1,sarsa_run_2,sarsa_run_3,sarsa_run_4,sarsa_run_5,sarsa_run_6,sarsa_run_7,sarsa_run_8,sarsa_run_9,sarsa_run_10
164,-31.000000,-25.000000,-27.000000,-30.000000,-127.000000,-144.000000,-35.000000,-27.000000,-28.000000,-19.000000
165,-41.000000,-19.000000,-35.000000,-25.000000,-21.000000,-37.000000,-33.000000,-25.000000,-39.000000,-39.000000
166,-22.000000,-24.000000,-19.000000,-37.000000,-25.000000,-34.000000,-29.000000,-19.000000,-22.000000,-22.000000
167,-21.000000,-27.000000,-22.000000,-143.000000,-25.000000,-25.000000,-25.000000,-42.000000,-144.000000,-18.000000
168,-30.000000,-19.000000,-23.000000,-29.000000,-39.000000,-31.000000,-24.000000,-17.000000,-29.000000,-23.000000
169,-18.000000,-17.000000,-39.000000,-22.000000,-29.000000,-27.000000,-362.000000,-28.000000,-17.000000,-48.000000
170,-29.000000,-21.000000,-23.000000,-29.000000,-25.000000,-29.000000,-27.000000,-39.000000,-27.000000,-17.000000
171,-29.000000,-29.000000,-35.000000,-32.000000,-30.000000,-21.000000,-30.000000,-23.000000,-23.000000,-28.000000
172,-21.000000,-24.000000,-31.000000,-21.000000,-22.000000,-33.000000,-28.000000,-27.000000,-20.000000,-28.000000
173,-35.000000,-37.000000,-30.000000,-27.000000,-24.000000,-25.000000,-17.000000,-27.000000,-40.000000,-32.000000
174,-23.000000,-23.000000,-23.000000,-41.000000,-31.000000,-27.000000,-46.000000,-19.000000,-27.000000,-21.000000
175,-33.000000,-25.000000,-38.000000,-21.000000,-16.000000,-19.000000,-25.000000,-17.000000,-31.000000,-27.000000
176,-21.000000,-25.000000,-33.000000,-30.000000,-44.000000,-21.000000,-19.000000,-33.000000,-17.000000,-22.000000
177,-33.000000,-22.000000,-17.000000,-23.000000,-24.000000,-35.000000,-25.000000,-29.000000,-30.000000,-23.000000
178,-151.000000,-27.000000,-33.000000,-21.000000,-23.000000,-153.000000,-29.000000,-19.000000,-21.000000,-25.000000
179,-31.000000,-38.000000,-25.000000,-28.000000,-27.000000,-19.000000,-31.000000,-21.000000,-23.000000,-45.000000
180,-22.000000,-30.000000,-25.000000,-31.000000,-142.000000,-26.000000,-21.000000,-19.000000,-35.000000,-24.000000
181,-21.000000,-145.000000,-35.000000,-138.000000,-34.000000,-21.000000,-30.000000,-38.000000,-26.000000,-27.000000
182,-25.000000,-23.000000,-27.000000,-124.000000,-23.000000,-25.000000,-23.000000,-240.000000,-19.000000,-25.000000
183,-18.000000,-33.000000,-21.000000,-148.000000,-29.000000,-25.000000,-32.000000,-25.000000,-23.000000,-21.000000
184,-41.000000,-43.000000,-128.000000,-17.000000,-20.000000,-21.000000,-23.000000,-21.000000,-25.000000,-23.000000
185,-21.000000,-36.000000,-36.000000,-47.000000,-23.000000,-134.000000,-29.000000,-51.000000,-24.000000,-21.000000
186,-23.000000,-49.000000,-18.000000,-27.000000,-33.000000,-22.000000,-132.000000,-19.000000,-25.000000,-22.000000
187,-21.000000,-19.000000,-23.000000,-24.000000,-23.000000,-126.000000,-23.000000,-38.000000,-28.000000,-29.000000
188,-29.000000,-44.000000,-15.000000,-26.000000,-27.000000,-29.000000,-23.000000,-68.000000,-26.000000,-25.000000
189,-21.000000,-19.000000,-35.000000,-35.000000,-21.000000,-23.000000,-20.000000,-35.000000,-25.000000,-128.000000
190,-30.000000,-21.000000,-26.000000,-19.000000,-23.000000,-27.000000,-33.000000,-37.000000,-20.000000,-31.000000
191,-22.000000,-25.000000,-17.000000,-23.000000,-122.000000,-27.000000,-124.000000,-21.000000,-28.000000,-17.000000
192,-30.000000,-21.000000,-27.000000,-28.000000,-21.000000,-22.000000,-146.000000,-35.000000,-21.000000,-27.000000
193,-15.000000,-19.000000,-24.000000,-24.000000,-17.000000,-33.000000,-22.000000,-35.000000,-33.000000,-29.000000
194,-19.000000,-25.000000,-28.000000,-21.000000,-29.000000,-23.000000,-27.000000,-23.000000,-26.000000,-25.000000
195,-30.000000,-15.000000,-25.000000,-23.000000,-30.000000,-31.000000,-27.000000,-27.000000,-35.000000,-21.000000
196,-17.000000,-20.000000,-28.000000,-19.000000,-25.000000,-27.000000,-22.000000,-28.000000,-19.000000,-21.000000
197,-21.000000,-21.000000,-25.000000,-17.000000,-23.000000,-23.000000,-21.000000,-36.000000,-37.000000,-21.000000
198,-21.000000,-35.000000,-17.000000,-27.000000,-27.000000,-25.000000,-21.000000,-30.000000,-19.000000,-21.000000
199,-37.000000,-21.000000,-19.000000,-15.000000,-22.000000,-35.000000,-22.000000,-28.000000,-24.000000,-19.000000
200,-15.000000,-43.000000,-25.000000,-21.000000,-115.000000,-46.000000,-31.000000,-157.000000,-25.000000,-29.000000
201,-26.000000,-22.000000,-31.000000,-121.000000,-30.000000,-17.000000,-34.000000,-27.000000,-119.000000,-21.000000
202,-22.000000,-17.000000,-24.000000,-23.000000,-119.000000,-24.000000,-32.000000,-33.000000,-19.000000,-22.000000
203,-27.000000,-25.000000,-24.000000,-22.000000,-29.000000,-27.000000,-29.000000,-17.000000,-17.000000,-27.000000
204,-22.000000,-34.000000,-19.000000,-21.000000,-24.000000,-24.000000,-17.000000,-15.000000,-19.000000,-25.000000
205,-27.000000,-25.000000,-121.000000,-19.000000,-17.000000,-31.000000,-18.000000,-163.000000,-25.000000,-22.000000
206,-21.000000,-17.000000,-27.000000,-19.000000,-17.000000,-25.000000,-19.000000,-23.000000,-25.000000,-25.000000
207,-19.000000,-33.000000,-23.000000,-21.000000,-29.000000,-28.000000,-24.000000,-125.000000,-19.000000,-125.000000
208,-32.000000,-21.000000,-29.000000,-229.000000,-22.000000,-122.000000,-17.000000,-30.000000,-18.000000,-22.000000
209,-24.000000,-23.000000,-25.000000,-23.000000,-20.000000,-23.000000,-25.000000,-19.000000,-245.000000,-117.000000
210,-25.000000,-41.000000,-23.000000,-26.000000,-40.000000,-31.000000,-31.000000,-33.000000,-18.000000,-23.000000
211,-32.000000,-28.000000,-27.000000,-23.000000,-20.000000,-23.000000,-26.000000,-19.000000,-31.000000,-19.000000
212,-25.000000,-29.000000,-39.000000,-17.000000,-25.000000,-26.000000,-19.000000,-25.000000,-23.000000,-29.000000
213,-122.000000,-23.000000,-27.000000,-20.000000,-19.000000,-23.000000,-17.000000,-24.000000,-18.000000,-25.000000
214,-45.000000,-19.000000,-33.000000,-23.000000,-21.000000,-26.000000,-27.000000,-26.000000,-21.000000,-23.000000
215,-44.000000,-119.000000,-21.000000,-21.000000,-36.000000,-26.000000,-23.000000,-26.000000,-21.000000,-23.000000
216,-21.000000,-27.000000,-17.000000,-17.000000,-140.000000,-37.000000,-17.000000,-19.000000,-133.000000,-21.000000
217,-36.000000,-29.000000,-43.000000,-21.000000,-21.000000,-21.000000,-17.000000,-15.000000,-24.000000,-21.000000
218,-25.000000,-19.000000,-23.000000,-21.000000,-122.000000,-21.000000,-33.000000,-21.000000,-15.000000,-19.000000
219,-32.000000,-21.000000,-31.000000,-129.000000,-19.000000,-25.000000,-30.000000,-20.000000,-21.000000,-35.000000
