episode,q_learning_mean_reward,q_learning_moving_average,q_learning_rolling_std,sarsa_mean_reward,sarsa_moving_average,sarsa_rolling_std
180,-25.500000,-55.700000,53.229475,-37.500000,-30.530000,15.510575
181,-36.100000,-50.070000,49.201370,-51.500000,-32.880000,21.482885
182,-45.300000,-50.940000,50.512560,-55.400000,-35.870000,28.128573
183,-41.000000,-52.840000,50.113207,-37.500000,-36.680000,28.874871
184,-53.700000,-46.060000,42.021026,-36.200000,-37.490000,31.095757
185,-41.900000,-43.430000,39.990121,-42.200000,-39.190000,31.750476
186,-48.700000,-43.780000,43.016498,-37.000000,-40.240000,34.490994
187,-42.400000,-45.600000,48.824466,-35.400000,-41.170000,34.981004
188,-51.600000,-44.050000,49.077777,-31.200000,-39.270000,30.662371
189,-44.800000,-43.100000,46.480768,-36.200000,-40.010000,33.097736
190,-45.600000,-45.110000,48.166029,-26.700000,-38.930000,29.939113
191,-45.000000,-46.000000,51.204438,-42.600000,-38.040000,30.379314
192,-31.100000,-44.580000,48.371293,-37.800000,-36.280000,25.652603
193,-68.000000,-47.280000,49.442810,-25.100000,-35.040000,22.949237
194,-20.300000,-43.940000,40.524843,-24.600000,-33.880000,20.010329
195,-34.200000,-43.170000,39.322415,-26.400000,-32.300000,18.448080
196,-44.600000,-42.760000,39.125077,-22.600000,-30.860000,17.577122
197,-76.500000,-46.170000,44.603491,-24.500000,-29.770000,15.109254
198,-43.400000,-45.350000,44.483946,-24.300000,-29.080000,14.176186
199,-89.000000,-49.770000,48.325051,-24.200000,-27.880000,11.440124
200,-33.100000,-48.520000,48.490958,-50.700000,-30.280000,16.124770
201,-31.000000,-47.120000,49.195635,-44.800000,-30.500000,19.103377
202,-22.200000,-46.230000,48.452840,-33.500000,-30.070000,16.854065
203,-88.400000,-48.270000,50.570566,-24.400000,-30.000000,16.806405
204,-43.200000,-50.560000,53.483179,-22.000000,-29.740000,17.026608
205,-67.900000,-53.930000,56.832088,-46.800000,-31.780000,21.019910
206,-28.700000,-52.340000,57.031552,-21.800000,-31.700000,21.093152
207,-20.300000,-46.720000,52.478572,-44.600000,-33.710000,24.205289
208,-40.500000,-46.430000,51.317250,-54.200000,-36.700000,30.027598
209,-17.800000,-39.310000,40.569171,-54.400000,-39.720000,34.817988
210,-68.300000,-42.830000,41.335768,-29.100000,-37.560000,32.893707
211,-51.900000,-44.920000,42.907145,-24.800000,-35.560000,32.211176
212,-56.500000,-48.350000,44.378722,-25.700000,-34.780000,29.795575
213,-52.000000,-44.710000,44.687492,-31.800000,-35.520000,32.276630
214,-22.200000,-42.610000,41.837387,-26.400000,-35.960000,32.141130
215,-30.100000,-38.830000,39.225036,-36.000000,-34.880000,30.228874
216,-99.100000,-45.870000,48.001248,-44.900000,-37.190000,33.539528
217,-41.900000,-48.030000,52.108002,-24.800000,-35.210000,30.088327
218,-52.300000,-49.210000,54.382275,-31.900000,-32.980000,22.572578
219,-65.300000,-53.960000,56.001061,-36.300000,-31.170000,19.382359
220,-83.000000,-55.430000,57.556963,-31.700000,-31.430000,21.912446
221,-30.100000,-53.250000,54.177397,-35.300000,-32.480000,23.375653
222,-41.800000,-51.780000,53.033329,-26.200000,-32.530000,23.505022
223,-39.500000,-50.530000,49.968929,-56.500000,-35.000000,25.707933
224,-51.600000,-53.470000,54.162561,-34.300000,-35.790000,26.658391
225,-32.500000,-53.710000,52.858497,-38.500000,-36.040000,26.153135
226,-75.500000,-51.350000,46.727893,-47.000000,-36.250000,25.676372
227,-27.900000,-49.950000,47.920933,-35.200000,-37.290000,26.311512
228,-32.700000,-47.990000,46.896543,-23.300000,-36.430000,25.788474
229,-41.300000,-45.590000,44.563782,-22.200000,-35.020000,24.709608
230,-70.600000,-44.350000,43.172133,-27.200000,-34.570000,24.094527
231,-55.700000,-46.910000,45.404794,-21.800000,-33.220000,23.134308
232,-59.100000,-48.640000,45.903631,-35.300000,-34.130000,24.580811
233,-50.900000,-49.780000,47.006468,-34.100000,-31.890000,22.473659
234,-41.400000,-48.760000,45.006948,-33.300000,-31.790000,22.991947
235,-17.000000,-47.210000,44.892540,-35.100000,-31.450000,23.080130
236,-18.300000,-41.490000,41.828750,-20.700000,-28.820000,17.681200
237,-41.500000,-42.850000,43.264459,-31.200000,-28.420000,15.386161
238,-17.700000,-41.350000,42.732537,-22.700000,-28.360000,15.417894
239,-60.700000,-43.290000,43.616224,-44.600000,-30.600000,18.940734
240,-31.300000,-39.360000,42.245857,-46.000000,-32.480000,25.217367
241,-29.600000,-36.750000,38.309617,-23.300000,-32.630000,25.208619
242,-17.800000,-32.620000,35.115631,-46.400000,-33.740000,25.854733
243,-41.200000,-31.650000,33.181699,-46.100000,-34.940000,26.598864
244,-40.200000,-31.530000,34.877821,-22.600000,-33.870000,23.395299
245,-18.100000,-31.640000,34.670978,-33.400000,-33.700000,23.774590
246,-40.100000,-33.820000,36.394390,-26.200000,-34.250000,23.811084
247,-39.700000,-33.640000,34.449528,-23.500000,-33.480000,22.896952
248,-61.700000,-38.040000,36.682305,-22.200000,-33.430000,22.926451
249,-39.900000,-35.960000,32.195699,-21.000000,-31.070000,21.318960
250,-78.400000,-40.670000,43.182309,-30.500000,-29.520000,17.318566
251,-52.100000,-42.920000,48.029225,-22.000000,-29.390000,17.500288
252,-37.900000,-44.930000,49.011894,-20.400000,-26.790000,13.960271
253,-70.200000,-47.830000,54.088137,-23.700000,-24.550000,9.446256
254,-71.800000,-50.990000,58.146467,-35.600000,-25.850000,11.155483
255,-28.600000,-52.040000,58.360903,-21.000000,-24.610000,8.356660
256,-61.300000,-54.160000,59.894008,-20.300000,-24.020000,7.986835
257,-58.300000,-56.020000,60.949401,-31.200000,-24.790000,10.328166
258,-61.400000,-55.990000,68.435571,-21.300000,-24.700000,10.265009
259,-15.000000,-53.500000,67.071894,-21.700000,-24.770000,10.377037
260,-27.700000,-48.430000,59.141185,-22.700000,-23.990000,9.738505
261,-37.100000,-46.930000,57.456797,-21.700000,-23.960000,9.798756
262,-39.500000,-47.090000,57.013046,-22.400000,-24.160000,9.840033
263,-37.500000,-43.820000,53.945091,-29.800000,-24.770000,12.339369
264,-47.700000,-41.410000,46.134441,-51.400000,-26.350000,17.405137
265,-47.200000,-43.270000,45.948636,-21.600000,-26.410000,17.578876
266,-70.200000,-44.160000,48.451011,-21.900000,-26.570000,17.616826
267,-41.100000,-42.440000,47.049613,-24.400000,-25.890000,14.926448
268,-25.600000,-38.860000,40.436710,-20.600000,-25.820000,14.916306
269,-48.700000,-42.230000,46.592521,-20.900000,-25.740000,14.961414
270,-68.400000,-46.300000,51.501293,-22.300000,-25.700000,14.903931
271,-48.300000,-47.420000,50.111285,-32.400000,-26.770000,17.797173
272,-37.900000,-47.260000,52.170912,-21.900000,-26.720000,17.795832
273,-36.700000,-47.180000,54.061603,-22.700000,-26.010000,15.915510
274,-26.400000,-45.050000,54.486445,-22.900000,-23.160000,7.910843
275,-15.000000,-41.830000,53.162627,-21.500000,-23.150000,7.875766
276,-16.300000,-36.440000,42.615545,-21.000000,-23.060000,7.702566
277,-27.100000,-35.040000,39.279876,-29.300000,-23.550000,9.616239
278,-49.800000,-37.460000,43.641644,-21.700000,-23.660000,9.606426
279,-27.900000,-35.380000,38.772949,-23.000000,-23.870000,9.497517
280,-69.400000,-35.480000,37.326336,-31.700000,-24.810000,12.460521
281,-35.700000,-34.220000,35.924297,-18.600000,-23.430000,9.779512
282,-56.600000,-36.090000,43.332607,-31.700000,-24.410000,10.586384
283,-37.500000,-36.170000,38.588251,-19.800000,-24.120000,10.334783
284,-67.400000,-40.270000,48.416842,-20.000000,-23.830000,10.198610
285,-24.400000,-41.210000,49.372314,-19.900000,-23.670000,9.994838
286,-59.900000,-45.570000,52.705729,-23.700000,-23.940000,10.401228
287,-58.200000,-48.680000,55.043616,-31.300000,-24.140000,12.218811
288,-24.200000,-46.120000,52.871149,-20.800000,-24.050000,12.119842
289,-25.300000,-45.860000,52.420951,-18.900000,-23.640000,12.017153
290,-98.700000,-48.790000,54.246475,-18.900000,-22.360000,8.834079
291,-47.000000,-49.920000,51.625216,-20.600000,-22.560000,9.105679
292,-59.800000,-50.240000,51.524053,-19.400000,-21.330000,6.058250
293,-35.200000,-50.010000,51.292300,-52.200000,-24.570000,15.027135
294,-70.100000,-50.280000,47.146007,-20.900000,-24.660000,15.059844
295,-16.700000,-49.510000,47.483680,-20.300000,-24.700000,15.051039
296,-37.000000,-47.220000,49.007213,-21.900000,-24.520000,15.071364
297,-26.100000,-44.010000,49.350137,-20.600000,-23.450000,12.513323
298,-26.000000,-44.190000,49.780355,-20.100000,-23.380000,12.666283
